route,method,action,middleware,public,auth_mode,expected,actual_status,result,evidence
api/budget-lines,POST,App\Modules\FinancePayroll\Http\Controllers\BudgetController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"POST /api/budget-lines -> 401 {""message"":""Unauthenticated.""}"
api/budget-lines,POST,App\Modules\FinancePayroll\Http\Controllers\BudgetController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"POST /api/budget-lines -> 401 {""message"":""Unauthenticated.""}"
api/budget-lines,POST,App\Modules\FinancePayroll\Http\Controllers\BudgetController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,422,PASS,"POST /api/budget-lines -> 422 {""message"":""The name field is required. (and 3 more errors)"",""errors"":{""name"":[""The name field is re"
api/budget-lines,POST,App\Modules\FinancePayroll\Http\Controllers\BudgetController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,422,PASS,"POST /api/budget-lines -> 422 {""message"":""The name field is required. (and 3 more errors)"",""errors"":{""name"":[""The name field is re"
api/budget-lines/{id},PATCH,App\Modules\FinancePayroll\Http\Controllers\BudgetController@update,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"PATCH /api/budget-lines/0d7c9903-efbc-4b0b-8200-b3776f757ae1 -> 401 {""message"":""Unauthenticated.""}"
api/budget-lines/{id},PATCH,App\Modules\FinancePayroll\Http\Controllers\BudgetController@update,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"PATCH /api/budget-lines/0d7c9903-efbc-4b0b-8200-b3776f757ae1 -> 401 {""message"":""Unauthenticated.""}"
api/budget-lines/{id},PATCH,App\Modules\FinancePayroll\Http\Controllers\BudgetController@update,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,200,PASS,"PATCH /api/budget-lines/0d7c9903-efbc-4b0b-8200-b3776f757ae1 -> 200 {""id"":""0d7c9903-efbc-4b0b-8200-b3776f757ae1"",""name"":""Office Rent"",""current_amount"":50000,""allocated_"
api/budget-lines/{id},PATCH,App\Modules\FinancePayroll\Http\Controllers\BudgetController@update,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,200,PASS,"PATCH /api/budget-lines/0d7c9903-efbc-4b0b-8200-b3776f757ae1 -> 200 {""id"":""0d7c9903-efbc-4b0b-8200-b3776f757ae1"",""name"":""Office Rent"",""current_amount"":50000,""allocated_"
api/budget/overview,GET,App\Modules\FinancePayroll\Http\Controllers\BudgetController@overview,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"GET /api/budget/overview -> 401 {""message"":""Unauthenticated.""}"
api/budget/overview,GET,App\Modules\FinancePayroll\Http\Controllers\BudgetController@overview,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"GET /api/budget/overview -> 401 {""message"":""Unauthenticated.""}"
